INTKEY,STRINGKEY,INTNUM,STRINGNUM,FLOATNUM,LONGNUM,DOUBLENUM,BYTENUM,DATEVALUE,TIMEVALUE,TIMESTAMPVALUE,BOOLEANVALUE,CHARVALUE,SHORTVALUE,BIGINTEGERVALUE,BIGDECIMALVALUE,objectvalue
36,36,-4963,-4963,-4963.0,-4963,,-92,2000-02-06,12:00:00,2000-01-01 00:00:36.0,true,0,-32732,-4963,-4963,-4963
37,37,-4962,-4962,-4962.0,-4962,-4962.0,,2000-02-07,13:00:00,2000-01-01 00:00:37.0,false,1,-32731,-4962,-4962,-4962
38,38,-4961,-4961,-4961.0,-4961,-4961.0,-90,,14:00:00,2000-01-01 00:00:38.0,true,0,-32730,-4961,-4961,-4961
39,39,-4960,-4960,-4960.0,-4960,-4960.0,-89,2000-02-09,,2000-01-01 00:00:39.0,false,1,-32729,-4960,-4960,-4960
40,40,-4959,-4959,-4959.0,-4959,-4959.0,-88,2000-02-10,16:00:00,,true,0,-32728,-4959,-4959,-4959
41,41,-4958,-4958,-4958.0,-4958,-4958.0,-87,2000-02-11,17:00:00,2000-01-01 00:00:41.0,false,1,-32727,-4958,-4958,-4958
42,42,-4957,-4957,-4957.0,-4957,-4957.0,-86,2000-02-12,18:00:00,2000-01-01 00:00:42.0,true,,-32726,-4957,-4957,-4957
43,43,-4956,-4956,-4956.0,-4956,-4956.0,-85,2000-02-13,19:00:00,2000-01-01 00:00:43.0,false,1,,-4956,-4956,-4956
44,44,-4955,-4955,-4955.0,-4955,-4955.0,-84,2000-02-14,20:00:00,2000-01-01 00:00:44.0,true,0,-32724,,-4955,-4955
45,45,-4954,-4954,-4954.0,-4954,-4954.0,-83,2000-02-15,21:00:00,2000-01-01 00:00:45.0,false,1,-32723,-4954,,-4954
46,46,-4953,-4953,-4953.0,-4953,-4953.0,-82,2000-02-16,22:00:00,2000-01-01 00:00:46.0,true,0,-32722,-4953,-4953,
47,47,-4952,-4952,-4952.0,-4952,-4952.0,-81,2000-02-17,23:00:00,2000-01-01 00:00:47.0,false,1,-32721,-4952,-4952,-4952
48,48,,-4951,-4951.0,-4951,-4951.0,-80,2000-02-18,00:00:00,2000-01-01 00:00:48.0,true,0,-32720,-4951,-4951,-4951
49,49,-4950,,-4950.0,-4950,-4950.0,-79,2000-02-19,01:00:00,2000-01-01 00:00:49.0,false,1,-32719,-4950,-4950,-4950
50,50,-4949,-4949,,-4949,-4949.0,-78,2000-02-20,02:00:00,2000-01-01 00:00:50.0,true,0,-32718,-4949,-4949,-4949
51,51,-4948,-4948,-4948.0,,-4948.0,-77,2000-02-21,03:00:00,2000-01-01 00:00:51.0,false,1,-32717,-4948,-4948,-4948
52,52,-4947,-4947,-4947.0,-4947,,-76,2000-02-22,04:00:00,2000-01-01 00:00:52.0,true,0,-32716,-4947,-4947,-4947
53,53,-4946,-4946,-4946.0,-4946,-4946.0,,2000-02-23,05:00:00,2000-01-01 00:00:53.0,false,1,-32715,-4946,-4946,-4946
54,54,-4945,-4945,-4945.0,-4945,-4945.0,-74,,06:00:00,2000-01-01 00:00:54.0,true,0,-32714,-4945,-4945,-4945
55,55,-4944,-4944,-4944.0,-4944,-4944.0,-73,2000-02-25,,2000-01-01 00:00:55.0,false,1,-32713,-4944,-4944,-4944
56,56,-4943,-4943,-4943.0,-4943,-4943.0,-72,2000-02-26,08:00:00,,true,0,-32712,-4943,-4943,-4943
57,57,-4942,-4942,-4942.0,-4942,-4942.0,-71,2000-02-27,09:00:00,2000-01-01 00:00:57.0,false,1,-32711,-4942,-4942,-4942
58,58,-4941,-4941,-4941.0,-4941,-4941.0,-70,2000-02-28,10:00:00,2000-01-01 00:00:58.0,true,,-32710,-4941,-4941,-4941
59,59,-4940,-4940,-4940.0,-4940,-4940.0,-69,2000-02-29,11:00:00,2000-01-01 00:00:59.0,false,1,,-4940,-4940,-4940
60,60,-4939,-4939,-4939.0,-4939,-4939.0,-68,2000-03-01,12:00:00,2000-01-01 00:01:00.0,true,0,-32708,,-4939,-4939
61,61,-4938,-4938,-4938.0,-4938,-4938.0,-67,2000-03-02,13:00:00,2000-01-01 00:01:01.0,false,1,-32707,-4938,,-4938
62,62,-4937,-4937,-4937.0,-4937,-4937.0,-66,2000-03-03,14:00:00,2000-01-01 00:01:02.0,true,0,-32706,-4937,-4937,
63,63,-4936,-4936,-4936.0,-4936,-4936.0,-65,2000-03-04,15:00:00,2000-01-01 00:01:03.0,false,1,-32705,-4936,-4936,-4936
64,64,,-4935,-4935.0,-4935,-4935.0,-64,2000-03-05,16:00:00,2000-01-01 00:01:04.0,true,0,-32704,-4935,-4935,-4935
65,65,-4934,,-4934.0,-4934,-4934.0,-63,2000-03-06,17:00:00,2000-01-01 00:01:05.0,false,1,-32703,-4934,-4934,-4934
66,66,-4933,-4933,,-4933,-4933.0,-62,2000-03-07,18:00:00,2000-01-01 00:01:06.0,true,0,-32702,-4933,-4933,-4933
67,67,-4932,-4932,-4932.0,,-4932.0,-61,2000-03-08,19:00:00,2000-01-01 00:01:07.0,false,1,-32701,-4932,-4932,-4932
68,68,-4931,-4931,-4931.0,-4931,,-60,2000-03-09,20:00:00,2000-01-01 00:01:08.0,true,0,-32700,-4931,-4931,-4931
69,69,-4930,-4930,-4930.0,-4930,-4930.0,,2000-03-10,21:00:00,2000-01-01 00:01:09.0,false,1,-32699,-4930,-4930,-4930
70,70,-4929,-4929,-4929.0,-4929,-4929.0,-58,,22:00:00,2000-01-01 00:01:10.0,true,0,-32698,-4929,-4929,-4929
71,71,-4928,-4928,-4928.0,-4928,-4928.0,-57,2000-03-12,,2000-01-01 00:01:11.0,false,1,-32697,-4928,-4928,-4928
72,72,-4927,-4927,-4927.0,-4927,-4927.0,-56,2000-03-13,00:00:00,,true,0,-32696,-4927,-4927,-4927
73,73,-4926,-4926,-4926.0,-4926,-4926.0,-55,2000-03-14,01:00:00,2000-01-01 00:01:13.0,false,1,-32695,-4926,-4926,-4926
74,74,-4925,-4925,-4925.0,-4925,-4925.0,-54,2000-03-15,02:00:00,2000-01-01 00:01:14.0,true,,-32694,-4925,-4925,-4925
75,75,-4924,-4924,-4924.0,-4924,-4924.0,-53,2000-03-16,03:00:00,2000-01-01 00:01:15.0,false,1,,-4924,-4924,-4924
76,76,-4923,-4923,-4923.0,-4923,-4923.0,-52,2000-03-17,04:00:00,2000-01-01 00:01:16.0,true,0,-32692,,-4923,-4923
77,77,-4922,-4922,-4922.0,-4922,-4922.0,-51,2000-03-18,05:00:00,2000-01-01 00:01:17.0,false,1,-32691,-4922,,-4922
78,78,-4921,-4921,-4921.0,-4921,-4921.0,-50,2000-03-19,06:00:00,2000-01-01 00:01:18.0,true,0,-32690,-4921,-4921,
79,79,-4920,-4920,-4920.0,-4920,-4920.0,-49,2000-03-20,07:00:00,2000-01-01 00:01:19.0,false,1,-32689,-4920,-4920,-4920
80,80,,-4919,-4919.0,-4919,-4919.0,-48,2000-03-21,08:00:00,2000-01-01 00:01:20.0,true,0,-32688,-4919,-4919,-4919
81,81,-4918,,-4918.0,-4918,-4918.0,-47,2000-03-22,09:00:00,2000-01-01 00:01:21.0,false,1,-32687,-4918,-4918,-4918
82,82,-4917,-4917,,-4917,-4917.0,-46,2000-03-23,10:00:00,2000-01-01 00:01:22.0,true,0,-32686,-4917,-4917,-4917
83,83,-4916,-4916,-4916.0,,-4916.0,-45,2000-03-24,11:00:00,2000-01-01 00:01:23.0,false,1,-32685,-4916,-4916,-4916
84,84,-4915,-4915,-4915.0,-4915,,-44,2000-03-25,12:00:00,2000-01-01 00:01:24.0,true,0,-32684,-4915,-4915,-4915
85,85,-4914,-4914,-4914.0,-4914,-4914.0,,2000-03-26,13:00:00,2000-01-01 00:01:25.0,false,1,-32683,-4914,-4914,-4914
86,86,-4913,-4913,-4913.0,-4913,-4913.0,-42,,14:00:00,2000-01-01 00:01:26.0,true,0,-32682,-4913,-4913,-4913
87,87,-4912,-4912,-4912.0,-4912,-4912.0,-41,2000-03-28,,2000-01-01 00:01:27.0,false,1,-32681,-4912,-4912,-4912
88,88,-4911,-4911,-4911.0,-4911,-4911.0,-40,2000-03-29,16:00:00,,true,0,-32680,-4911,-4911,-4911
89,89,-4910,-4910,-4910.0,-4910,-4910.0,-39,2000-03-30,17:00:00,2000-01-01 00:01:29.0,false,1,-32679,-4910,-4910,-4910
90,90,-4909,-4909,-4909.0,-4909,-4909.0,-38,2000-03-31,18:00:00,2000-01-01 00:01:30.0,true,,-32678,-4909,-4909,-4909
91,91,-4908,-4908,-4908.0,-4908,-4908.0,-37,2000-04-01,19:00:00,2000-01-01 00:01:31.0,false,1,,-4908,-4908,-4908
92,92,-4907,-4907,-4907.0,-4907,-4907.0,-36,2000-04-02,20:00:00,2000-01-01 00:01:32.0,true,0,-32676,,-4907,-4907
93,93,-4906,-4906,-4906.0,-4906,-4906.0,-35,2000-04-03,21:00:00,2000-01-01 00:01:33.0,false,1,-32675,-4906,,-4906
94,94,-4905,-4905,-4905.0,-4905,-4905.0,-34,2000-04-04,22:00:00,2000-01-01 00:01:34.0,true,0,-32674,-4905,-4905,
95,95,-4904,-4904,-4904.0,-4904,-4904.0,-33,2000-04-05,23:00:00,2000-01-01 00:01:35.0,false,1,-32673,-4904,-4904,-4904
96,96,,-4903,-4903.0,-4903,-4903.0,-32,2000-04-06,00:00:00,2000-01-01 00:01:36.0,true,0,-32672,-4903,-4903,-4903
97,97,-4902,,-4902.0,-4902,-4902.0,-31,2000-04-07,01:00:00,2000-01-01 00:01:37.0,false,1,-32671,-4902,-4902,-4902
98,98,-4901,-4901,,-4901,-4901.0,-30,2000-04-08,02:00:00,2000-01-01 00:01:38.0,true,0,-32670,-4901,-4901,-4901
99,99,-4900,-4900,-4900.0,,-4900.0,-29,2000-04-09,03:00:00,2000-01-01 00:01:39.0,false,1,-32669,-4900,-4900,-4900
100,100,-4899,-4899,-4899.0,-4899,,-28,2000-04-10,04:00:00,2000-01-01 00:01:40.0,true,0,-32668,-4899,-4899,-4899
101,101,-4898,-4898,-4898.0,-4898,-4898.0,,2000-04-11,05:00:00,2000-01-01 00:01:41.0,false,1,-32667,-4898,-4898,-4898
102,102,-4897,-4897,-4897.0,-4897,-4897.0,-26,,06:00:00,2000-01-01 00:01:42.0,true,0,-32666,-4897,-4897,-4897
103,103,-4896,-4896,-4896.0,-4896,-4896.0,-25,2000-04-13,,2000-01-01 00:01:43.0,false,1,-32665,-4896,-4896,-4896
104,104,-4895,-4895,-4895.0,-4895,-4895.0,-24,2000-04-14,08:00:00,,true,0,-32664,-4895,-4895,-4895
105,105,-4894,-4894,-4894.0,-4894,-4894.0,-23,2000-04-15,09:00:00,2000-01-01 00:01:45.0,false,1,-32663,-4894,-4894,-4894
106,106,-4893,-4893,-4893.0,-4893,-4893.0,-22,2000-04-16,10:00:00,2000-01-01 00:01:46.0,true,,-32662,-4893,-4893,-4893
107,107,-4892,-4892,-4892.0,-4892,-4892.0,-21,2000-04-17,11:00:00,2000-01-01 00:01:47.0,false,1,,-4892,-4892,-4892
108,108,-4891,-4891,-4891.0,-4891,-4891.0,-20,2000-04-18,12:00:00,2000-01-01 00:01:48.0,true,0,-32660,,-4891,-4891
109,109,-4890,-4890,-4890.0,-4890,-4890.0,-19,2000-04-19,13:00:00,2000-01-01 00:01:49.0,false,1,-32659,-4890,,-4890
110,110,-4889,-4889,-4889.0,-4889,-4889.0,-18,2000-04-20,14:00:00,2000-01-01 00:01:50.0,true,0,-32658,-4889,-4889,
111,111,-4888,-4888,-4888.0,-4888,-4888.0,-17,2000-04-21,15:00:00,2000-01-01 00:01:51.0,false,1,-32657,-4888,-4888,-4888
112,112,,-4887,-4887.0,-4887,-4887.0,-16,2000-04-22,16:00:00,2000-01-01 00:01:52.0,true,0,-32656,-4887,-4887,-4887
113,113,-4886,,-4886.0,-4886,-4886.0,-15,2000-04-23,17:00:00,2000-01-01 00:01:53.0,false,1,-32655,-4886,-4886,-4886
114,114,-4885,-4885,,-4885,-4885.0,-14,2000-04-24,18:00:00,2000-01-01 00:01:54.0,true,0,-32654,-4885,-4885,-4885
115,115,-4884,-4884,-4884.0,,-4884.0,-13,2000-04-25,19:00:00,2000-01-01 00:01:55.0,false,1,-32653,-4884,-4884,-4884
116,116,-4883,-4883,-4883.0,-4883,,-12,2000-04-26,20:00:00,2000-01-01 00:01:56.0,true,0,-32652,-4883,-4883,-4883
117,117,-4882,-4882,-4882.0,-4882,-4882.0,,2000-04-27,21:00:00,2000-01-01 00:01:57.0,false,1,-32651,-4882,-4882,-4882
118,118,-4881,-4881,-4881.0,-4881,-4881.0,-10,,22:00:00,2000-01-01 00:01:58.0,true,0,-32650,-4881,-4881,-4881
119,119,-4880,-4880,-4880.0,-4880,-4880.0,-9,2000-04-29,,2000-01-01 00:01:59.0,false,1,-32649,-4880,-4880,-4880
120,120,-4879,-4879,-4879.0,-4879,-4879.0,-8,2000-04-30,00:00:00,,true,0,-32648,-4879,-4879,-4879
121,121,-4878,-4878,-4878.0,-4878,-4878.0,-7,2000-05-01,01:00:00,2000-01-01 00:02:01.0,false,1,-32647,-4878,-4878,-4878
122,122,-4877,-4877,-4877.0,-4877,-4877.0,-6,2000-05-02,02:00:00,2000-01-01 00:02:02.0,true,,-32646,-4877,-4877,-4877
123,123,-4876,-4876,-4876.0,-4876,-4876.0,-5,2000-05-03,03:00:00,2000-01-01 00:02:03.0,false,1,,-4876,-4876,-4876
124,124,-4875,-4875,-4875.0,-4875,-4875.0,-4,2000-05-04,04:00:00,2000-01-01 00:02:04.0,true,0,-32644,,-4875,-4875
125,125,-4874,-4874,-4874.0,-4874,-4874.0,-3,2000-05-05,05:00:00,2000-01-01 00:02:05.0,false,1,-32643,-4874,,-4874
126,126,-4873,-4873,-4873.0,-4873,-4873.0,-2,2000-05-06,06:00:00,2000-01-01 00:02:06.0,true,0,-32642,-4873,-4873,
127,127,-4872,-4872,-4872.0,-4872,-4872.0,-1,2000-05-07,07:00:00,2000-01-01 00:02:07.0,false,1,-32641,-4872,-4872,-4872
128,128,,-4871,-4871.0,-4871,-4871.0,0,2000-05-08,08:00:00,2000-01-01 00:02:08.0,true,0,-32640,-4871,-4871,-4871
129,129,-4870,,-4870.0,-4870,-4870.0,1,2000-05-09,09:00:00,2000-01-01 00:02:09.0,false,1,-32639,-4870,-4870,-4870
130,130,-4869,-4869,,-4869,-4869.0,2,2000-05-10,10:00:00,2000-01-01 00:02:10.0,true,0,-32638,-4869,-4869,-4869
131,131,-4868,-4868,-4868.0,,-4868.0,3,2000-05-11,11:00:00,2000-01-01 00:02:11.0,false,1,-32637,-4868,-4868,-4868
132,132,-4867,-4867,-4867.0,-4867,,4,2000-05-12,12:00:00,2000-01-01 00:02:12.0,true,0,-32636,-4867,-4867,-4867
133,133,-4866,-4866,-4866.0,-4866,-4866.0,,2000-05-13,13:00:00,2000-01-01 00:02:13.0,false,1,-32635,-4866,-4866,-4866
134,134,-4865,-4865,-4865.0,-4865,-4865.0,6,,14:00:00,2000-01-01 00:02:14.0,true,0,-32634,-4865,-4865,-4865
135,135,-4864,-4864,-4864.0,-4864,-4864.0,7,2000-05-15,,2000-01-01 00:02:15.0,false,1,-32633,-4864,-4864,-4864
136,136,-4863,-4863,-4863.0,-4863,-4863.0,8,2000-05-16,16:00:00,,true,0,-32632,-4863,-4863,-4863
137,137,-4862,-4862,-4862.0,-4862,-4862.0,9,2000-05-17,17:00:00,2000-01-01 00:02:17.0,false,1,-32631,-4862,-4862,-4862
138,138,-4861,-4861,-4861.0,-4861,-4861.0,10,2000-05-18,18:00:00,2000-01-01 00:02:18.0,true,,-32630,-4861,-4861,-4861
139,139,-4860,-4860,-4860.0,-4860,-4860.0,11,2000-05-19,19:00:00,2000-01-01 00:02:19.0,false,1,,-4860,-4860,-4860
140,140,-4859,-4859,-4859.0,-4859,-4859.0,12,2000-05-20,20:00:00,2000-01-01 00:02:20.0,true,0,-32628,,-4859,-4859
141,141,-4858,-4858,-4858.0,-4858,-4858.0,13,2000-05-21,21:00:00,2000-01-01 00:02:21.0,false,1,-32627,-4858,,-4858
142,142,-4857,-4857,-4857.0,-4857,-4857.0,14,2000-05-22,22:00:00,2000-01-01 00:02:22.0,true,0,-32626,-4857,-4857,
143,143,-4856,-4856,-4856.0,-4856,-4856.0,15,2000-05-23,23:00:00,2000-01-01 00:02:23.0,false,1,-32625,-4856,-4856,-4856
144,144,,-4855,-4855.0,-4855,-4855.0,16,2000-05-24,00:00:00,2000-01-01 00:02:24.0,true,0,-32624,-4855,-4855,-4855
145,145,-4854,,-4854.0,-4854,-4854.0,17,2000-05-25,01:00:00,2000-01-01 00:02:25.0,false,1,-32623,-4854,-4854,-4854
146,146,-4853,-4853,,-4853,-4853.0,18,2000-05-26,02:00:00,2000-01-01 00:02:26.0,true,0,-32622,-4853,-4853,-4853
147,147,-4852,-4852,-4852.0,,-4852.0,19,2000-05-27,03:00:00,2000-01-01 00:02:27.0,false,1,-32621,-4852,-4852,-4852
148,148,-4851,-4851,-4851.0,-4851,,20,2000-05-28,04:00:00,2000-01-01 00:02:28.0,true,0,-32620,-4851,-4851,-4851
149,149,-4850,-4850,-4850.0,-4850,-4850.0,,2000-05-29,05:00:00,2000-01-01 00:02:29.0,false,1,-32619,-4850,-4850,-4850
150,150,-4849,-4849,-4849.0,-4849,-4849.0,22,,06:00:00,2000-01-01 00:02:30.0,true,0,-32618,-4849,-4849,-4849
151,151,-4848,-4848,-4848.0,-4848,-4848.0,23,2000-05-31,,2000-01-01 00:02:31.0,false,1,-32617,-4848,-4848,-4848
152,152,-4847,-4847,-4847.0,-4847,-4847.0,24,2000-06-01,08:00:00,,true,0,-32616,-4847,-4847,-4847
153,153,-4846,-4846,-4846.0,-4846,-4846.0,25,2000-06-02,09:00:00,2000-01-01 00:02:33.0,false,1,-32615,-4846,-4846,-4846
154,154,-4845,-4845,-4845.0,-4845,-4845.0,26,2000-06-03,10:00:00,2000-01-01 00:02:34.0,true,,-32614,-4845,-4845,-4845
155,155,-4844,-4844,-4844.0,-4844,-4844.0,27,2000-06-04,11:00:00,2000-01-01 00:02:35.0,false,1,,-4844,-4844,-4844
156,156,-4843,-4843,-4843.0,-4843,-4843.0,28,2000-06-05,12:00:00,2000-01-01 00:02:36.0,true,0,-32612,,-4843,-4843
157,157,-4842,-4842,-4842.0,-4842,-4842.0,29,2000-06-06,13:00:00,2000-01-01 00:02:37.0,false,1,-32611,-4842,,-4842
158,158,-4841,-4841,-4841.0,-4841,-4841.0,30,2000-06-07,14:00:00,2000-01-01 00:02:38.0,true,0,-32610,-4841,-4841,
159,159,-4840,-4840,-4840.0,-4840,-4840.0,31,2000-06-08,15:00:00,2000-01-01 00:02:39.0,false,1,-32609,-4840,-4840,-4840
160,160,,-4839,-4839.0,-4839,-4839.0,32,2000-06-09,16:00:00,2000-01-01 00:02:40.0,true,0,-32608,-4839,-4839,-4839
161,161,-4838,,-4838.0,-4838,-4838.0,33,2000-06-10,17:00:00,2000-01-01 00:02:41.0,false,1,-32607,-4838,-4838,-4838
162,162,-4837,-4837,,-4837,-4837.0,34,2000-06-11,18:00:00,2000-01-01 00:02:42.0,true,0,-32606,-4837,-4837,-4837
163,163,-4836,-4836,-4836.0,,-4836.0,35,2000-06-12,19:00:00,2000-01-01 00:02:43.0,false,1,-32605,-4836,-4836,-4836
164,164,-4835,-4835,-4835.0,-4835,,36,2000-06-13,20:00:00,2000-01-01 00:02:44.0,true,0,-32604,-4835,-4835,-4835
165,165,-4834,-4834,-4834.0,-4834,-4834.0,,2000-06-14,21:00:00,2000-01-01 00:02:45.0,false,1,-32603,-4834,-4834,-4834
166,166,-4833,-4833,-4833.0,-4833,-4833.0,38,,22:00:00,2000-01-01 00:02:46.0,true,0,-32602,-4833,-4833,-4833
167,167,-4832,-4832,-4832.0,-4832,-4832.0,39,2000-06-16,,2000-01-01 00:02:47.0,false,1,-32601,-4832,-4832,-4832
168,168,-4831,-4831,-4831.0,-4831,-4831.0,40,2000-06-17,00:00:00,,true,0,-32600,-4831,-4831,-4831
169,169,-4830,-4830,-4830.0,-4830,-4830.0,41,2000-06-18,01:00:00,2000-01-01 00:02:49.0,false,1,-32599,-4830,-4830,-4830
170,170,-4829,-4829,-4829.0,-4829,-4829.0,42,2000-06-19,02:00:00,2000-01-01 00:02:50.0,true,,-32598,-4829,-4829,-4829
171,171,-4828,-4828,-4828.0,-4828,-4828.0,43,2000-06-20,03:00:00,2000-01-01 00:02:51.0,false,1,,-4828,-4828,-4828
172,172,-4827,-4827,-4827.0,-4827,-4827.0,44,2000-06-21,04:00:00,2000-01-01 00:02:52.0,true,0,-32596,,-4827,-4827
173,173,-4826,-4826,-4826.0,-4826,-4826.0,45,2000-06-22,05:00:00,2000-01-01 00:02:53.0,false,1,-32595,-4826,,-4826
174,174,-4825,-4825,-4825.0,-4825,-4825.0,46,2000-06-23,06:00:00,2000-01-01 00:02:54.0,true,0,-32594,-4825,-4825,
175,175,-4824,-4824,-4824.0,-4824,-4824.0,47,2000-06-24,07:00:00,2000-01-01 00:02:55.0,false,1,-32593,-4824,-4824,-4824
176,176,,-4823,-4823.0,-4823,-4823.0,48,2000-06-25,08:00:00,2000-01-01 00:02:56.0,true,0,-32592,-4823,-4823,-4823
177,177,-4822,,-4822.0,-4822,-4822.0,49,2000-06-26,09:00:00,2000-01-01 00:02:57.0,false,1,-32591,-4822,-4822,-4822
178,178,-4821,-4821,,-4821,-4821.0,50,2000-06-27,10:00:00,2000-01-01 00:02:58.0,true,0,-32590,-4821,-4821,-4821
179,179,-4820,-4820,-4820.0,,-4820.0,51,2000-06-28,11:00:00,2000-01-01 00:02:59.0,false,1,-32589,-4820,-4820,-4820
180,180,-4819,-4819,-4819.0,-4819,,52,2000-06-29,12:00:00,2000-01-01 00:03:00.0,true,0,-32588,-4819,-4819,-4819
181,181,-4818,-4818,-4818.0,-4818,-4818.0,,2000-06-30,13:00:00,2000-01-01 00:03:01.0,false,1,-32587,-4818,-4818,-4818
