INTKEY,STRINGKEY,INTNUM,STRINGNUM,FLOATNUM,LONGNUM,DOUBLENUM,BYTENUM,DATEVALUE,TIMEVALUE,TIMESTAMPVALUE,BOOLEANVALUE,CHARVALUE,SHORTVALUE,BIGINTEGERVALUE,BIGDECIMALVALUE,objectvalue
39,39,15,15,15.0,15,15.0,-89,2000-02-09,,2000-01-01 00:00:39.0,true,0,-32729,15,15,15
40,40,16,16,16.0,16,16.0,-88,2000-02-10,16:00:00,,false,1,-32728,16,16,16
41,41,17,17,17.0,17,17.0,-87,2000-02-11,17:00:00,2000-01-01 00:00:41.0,false,0,-32727,17,17,17
42,42,18,18,18.0,18,18.0,-86,2000-02-12,18:00:00,2000-01-01 00:00:42.0,false,,-32726,18,18,18
43,43,19,19,19.0,19,19.0,-85,2000-02-13,19:00:00,2000-01-01 00:00:43.0,true,0,,19,19,19
44,44,20,20,20.0,20,20.0,-84,2000-02-14,20:00:00,2000-01-01 00:00:44.0,false,1,-32724,,20,20
45,45,21,21,21.0,21,21.0,-83,2000-02-15,21:00:00,2000-01-01 00:00:45.0,true,0,-32723,21,,21
46,46,22,22,22.0,22,22.0,-82,2000-02-16,22:00:00,2000-01-01 00:00:46.0,false,1,-32722,22,22,
47,47,23,23,23.0,23,23.0,-81,2000-02-17,23:00:00,2000-01-01 00:00:47.0,true,0,-32721,23,23,23
48,48,,24,24.0,24,24.0,-80,2000-02-18,00:00:00,2000-01-01 00:00:48.0,false,1,-32720,24,24,24
49,49,25,,25.0,25,25.0,-79,2000-02-19,01:00:00,2000-01-01 00:00:49.0,true,0,-32719,25,25,25
